distance,consume,speed,temp_inside,temp_outside,AC,Slip
28,5,26,21.5,12,0,0
12,4.2,30,21.5,13,0,0
11.2,5.5,38,21.5,15,0,0
12.9,3.9,36,21.5,14,0,0
18.5,4.5,46,21.5,15,0,0
8.3,6.4,50,21.5,10,0,0
7.8,4.4,43,21.5,11,0,0
12.3,5,40,21.5,6,0,0
4.9,6.4,26,21.5,4,0,0
11.9,5.3,30,21.5,9,0,0
12.4,5.6,42,21.5,4,0,0
11.8,4.6,38,21.5,0,0,0
12.3,5.9,59,21.5,10,0,0
24.7,5.1,58,21.5,12,0,0
12.4,4.7,46,21.5,11,0,0
17.3,5.1,24,21.5,5,0,0
33.4,5.6,36,21.5,3,0,0
11.8,5.1,32,21.5,3,0,0
25.9,4.9,39,21.5,8,0,0
11.8,4.7,40,21.5,4,0,0
25.3,5.5,32,21.5,3,0,0
14.2,5.9,38,21.5,1,0,0
17.9,5.7,37,21.5,1,0,0
11.8,4.7,36,21.5,1,0,0
12.3,5.9,62,21.5,6,0,0
12.4,4.1,57,21.5,9,0,0
18.4,5.7,21,22.5,2,0,0
18.4,5.8,28,21.5,3,0,0
18.3,5.5,29,21.5,1,0,0
18.4,5.7,35,21.5,4,0,0
12.3,5.3,51,21.5,11,0,0
11.8,5,29,21.5,10,0,0
12.3,5.6,58,21.5,8,0,0
32.6,4.8,40,21.5,7,0,0
19,4.3,36,21.5,7,0,0
12.1,5.7,36,21.5,8,0,0
20,5.2,37,21.5,4,0,0
4.9,7.4,26,21.5,6,0,0
11.8,4.8,23,21.5,9,0,0
12.3,6.5,58,21.5,7,0,0
12.4,4,55,21.5,7,1,1
4.5,5,29,21.5,7,1,0
11.7,4.6,37,21.5,6,0,0
10.2,4.3,44,21.5,7,0,0
16.1,5.4,24,21.5,7,0,1
11.8,4.3,40,21.5,10,0,1
12.3,5.4,58,21.5,13,0,0
12.4,4.3,49,21.5,17,0,0
7,5.2,25,21.5,17,0,0
11.8,4.1,37,21.5,10,0,0
20.1,4.4,41,21.5,18,0,0
20.8,4.5,45,21.5,10,0,0
1.7,10.8,14,21.5,10,0,1
35.9,4.7,45,21.5,12,0,0
36.9,4.8,52,21.5,5,0,0
16.8,4,46,21.5,8,0,0
9.9,5,28,21.5,9,0,0
22.9,4.6,61,21.5,7,0,1
17.3,5,61,21.5,6,1,1
11.8,4.3,37,21.5,7,0,0
36.6,5.2,80,21.5,7,0,1
44.9,4.7,62,21.5,8,0,0
11.8,4.2,34,21.5,9,0,1
21.6,5.3,44,21.5,9,0,1
39.4,5.3,60,21.5,9,0,1
5.1,8.1,39,21.5,4,0,0
